course_id,new_name
867776937557,"10 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867789158503,"11 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867785971111,"9 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867773165375,"8 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867772427865,"7 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867394748201,"6 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867376604112,"5 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867324295576,"3 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867312800722,"4 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867270052567,"1 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
867268618041,"2 клас. Індивідуальна ФН (Екстернат, Сімейна, Педпатронаж) (2026-2027)"
