course_id,course_name,group_email
871402899495,01. 1-В клас. Англійська мова,class-1-v@schoolgus.ukr.education
871398631604,"05. 5-Г клас. Здоров'я, безпека та добробут",class-5-g@schoolgus.ukr.education
871399331050,"05. 5-В клас. Здоров'я, безпека та добробут",class-5-v@schoolgus.ukr.education
871398781345,"05. 5-Б клас. Здоров'я, безпека та добробут",class-5-b@schoolgus.ukr.education
867792325184,11. 11-Б клас. Основи християнської етики (2026-2027),class-11-b@schoolgus.ukr.education
867776443513,11. 11-Б клас. Фізична культура (2026-2027),class-11-b@schoolgus.ukr.education
867791530436,11. 11-Б клас. Технології (2026-2027),class-11-b@schoolgus.ukr.education
867792512225,11. 11-Б клас. Захист України (2026-2027),class-11-b@schoolgus.ukr.education
867792466333,11. 11-Б клас. Мистецтво (2026-2027),class-11-b@schoolgus.ukr.education
867791354337,11. 11-Б клас. Хімія (2026-2027),class-11-b@schoolgus.ukr.education
867787422615,11. 11-Б клас. Інформатика (2026-2027),class-11-b@schoolgus.ukr.education
867786158258,11. 11-Б клас. Фізика і астрономія (2026-2027),class-11-b@schoolgus.ukr.education
867792390116,11. 11-Б клас. Географія (2026-2027),class-11-b@schoolgus.ukr.education
867789515128,11. 11-Б клас. Біологія і екологія (2026-2027),class-11-b@schoolgus.ukr.education
867791538027,11. 11-Б клас. Геометрія (2026-2027),class-11-b@schoolgus.ukr.education
867791303619,11. 11-Б клас. Алгебра і початки аналізу (2026-2027),class-11-b@schoolgus.ukr.education
867790497516,11. 11-Б клас. Всесвітня історія (2026-2027),class-11-b@schoolgus.ukr.education
867792694890,11. 11-Б клас. Історія України (2026-2027),class-11-b@schoolgus.ukr.education
867792329764,11. 11-Б клас. Друга іноземна мова (Німецька) (2026-2027),class-11-b@schoolgus.ukr.education
867792218267,11. 11-Б клас. Зарубіжна література (2026-2027),class-11-b@schoolgus.ukr.education
867792397764,11. 11-Б клас. Англійська мова (2026-2027),class-11-b@schoolgus.ukr.education
867791909915,11. 11-Б клас. Українська література (2026-2027),class-11-b@schoolgus.ukr.education
867792025334,11. 11-Б клас. Українська мова (2026-2027),class-11-b@schoolgus.ukr.education
867787301544,11. 11-А клас. Основи християнської етики (2026-2027),class-11-a@schoolgus.ukr.education
867791624784,11. 11-А клас. Захист України (2026-2027),class-11-a@schoolgus.ukr.education
867792445913,11. 11-А клас. Технології (2026-2027),class-11-a@schoolgus.ukr.education
867782037931,11. 11-А клас. Фізична культура (2026-2027),class-11-a@schoolgus.ukr.education
867791302502,11. 11-А клас. Мистецтво (2026-2027),class-11-a@schoolgus.ukr.education
867792998373,11. 11-А клас. Хімія (2026-2027),class-11-a@schoolgus.ukr.education
867792280805,11. 11-А клас. Інформатика (2026-2027),class-11-a@schoolgus.ukr.education
867792294551,11. 11-А клас. Фізика і астрономія (2026-2027),class-11-a@schoolgus.ukr.education
798183908153,11. 11-А клас. Географія (2026-2027),class-11-a@schoolgus.ukr.education
867792832358,11. 11-А клас. Біологія і екологія (2026-2027),class-11-a@schoolgus.ukr.education
867792707565,11. 11-А клас. Всесвітня історія (2026-2027),class-11-a@schoolgus.ukr.education
867791719550,11. 11-А клас. Історія України (2026-2027),class-11-a@schoolgus.ukr.education
867791520651,11. 11-А клас. Алгебра і початки аналізу (2026-2027),class-11-a@schoolgus.ukr.education
867792293789,11. 11-А клас. Геометрія (2026-2027),class-11-a@schoolgus.ukr.education
867792241222,11. 11-А клас. Друга іноземна мова (Німецька) (2026-2027),class-11-a@schoolgus.ukr.education
867792392529,11. 11-А клас. Зарубіжна література (2026-2027),class-11-a@schoolgus.ukr.education
867790850960,11. 11-А клас. Українська література (2026-2027),class-11-a@schoolgus.ukr.education
867792694872,11. 11-А клас. Англійська мова (2026-2027),class-11-a@schoolgus.ukr.education
855108993330,11. 11-А клас. Українська мова (2026-2027),class-11-a@schoolgus.ukr.education
867788491430,10. 10-Б клас. Основи християнської етики (2026-2027),class-10-b@schoolgus.ukr.education
867787356263,10. 10-Б клас. Фізична культура (2026-2027),class-10-b@schoolgus.ukr.education
798183738162,10. 10-Б клас. Технології (2026-2027),class-10-b@schoolgus.ukr.education
867791525815,10. 10-Б клас. Захист України (2026-2027),class-10-b@schoolgus.ukr.education
867790940760,10. 10-Б клас. Мистецтво (2026-2027),class-10-b@schoolgus.ukr.education
867791878062,10. 10-Б клас. Інформатика (2026-2027),class-10-b@schoolgus.ukr.education
867791896554,10. 10-Б клас. Фізика і астрономія (2026-2027),class-10-b@schoolgus.ukr.education
867791868755,10. 10-Б клас. Хімія (2026-2027),class-10-b@schoolgus.ukr.education
867791238867,10. 10-Б клас. Географія (2026-2027),class-10-b@schoolgus.ukr.education
867790932150,10. 10-Б клас. Біологія і екологія (2026-2027),class-10-b@schoolgus.ukr.education
867791515699,10. 10-Б клас. Геометрія (2026-2027),class-10-b@schoolgus.ukr.education
867786558104,10. 10-Б клас. Всесвітня історія (2026-2027),class-10-b@schoolgus.ukr.education
